gene_symbol,study_id,assay_id,log2fc,adj_pvalue,test_group,ref_group,go_terms
KLK13,E-GEOD-30999,'lesional' vs 'non-lesional',3.200,0.00e+00,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
KYNU,E-GEOD-41745,'lesional' vs 'non-lesional',3.200,1.09e-40,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
OASL,E-GEOD-41745,'lesional' vs 'non-lesional',3.200,1.82e-12,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
PRSS27,E-GEOD-30999,'lesional' vs 'non-lesional',3.200,0.00e+00,lesional,non-lesional,
SPRR2A,E-GEOD-41745,'lesional' vs 'non-lesional',3.200,6.76e-11,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
KRT16,E-GEOD-53552,'lesional' vs 'non-lesional' in 'none' at '0 day',3.200,6.50e-22,0 day; lesional; none,0 day; non-lesional; none,GO:0070268; GO:0031424; GO:0009615
KRT16,E-GEOD-41662,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.200,1.76e-21,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
KYNU,E-GEOD-34248,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.200,2.71e-08,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
SPRR2A,E-GEOD-50790,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.200,7.08e-04,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
TRIM10,E-GEOD-50790,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.200,2.16e-03,lesional,non-lesional,
CHI3L2,E-GEOD-52471,'psoriasis' vs 'normal' in 'Affy RNA amplification kit',3.200,9.09e-10,Affy RNA amplification kit; psoriasis,Affy RNA amplification kit; normal,
EHF,E-GEOD-52471,'psoriasis' vs 'normal' in 'Affy RNA amplification kit',3.200,1.18e-10,Affy RNA amplification kit; psoriasis,Affy RNA amplification kit; normal,GO:0070268; GO:0031424; GO:0009615
GNA15,E-GEOD-52471,'psoriasis' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.200,2.44e-05,Ovation RNA Amplification V2 kit; psoriasis,Ovation RNA Amplification V2 kit; normal,
PPP4C,E-GEOD-52471,'psoriasis' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.200,1.28e-05,Ovation RNA Amplification V2 kit; psoriasis,Ovation RNA Amplification V2 kit; normal,
ZC3H12A,E-GEOD-52471,'psoriasis' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.200,2.97e-05,Ovation RNA Amplification V2 kit; psoriasis,Ovation RNA Amplification V2 kit; normal,GO:0070268; GO:0031424; GO:0009615
HRH2,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',3.200,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
NWD2,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',3.200,0.00e+00,lesional skin; psoriasis,normal; normal,
SAMD9,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',3.200,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
KYNU,E-GEOD-41663,'skin lesion' vs 'normal skin' in 'none' at '0 weeks',3.200,9.98e-09,none; skin lesion; 0 week,none; normal; 0 week,GO:0070268; GO:0031424; GO:0009615
HERC5,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.100,2.45e-04,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
LAIR1,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.100,1.53e-05,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
LIPG,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.100,2.15e-04,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
OAS1,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.100,1.41e-05,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0070268; GO:0031424; GO:0009615
ZBP1,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.100,9.66e-05,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
APOL2,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',3.100,4.46e-11,normal; injection of interferon gamma,normal; none,
APOL3,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',3.100,5.81e-10,normal; injection of interferon gamma,normal; none,
LAP3,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',3.100,7.62e-11,normal; injection of interferon gamma,normal; none,GO:0009615
APOL2,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',3.100,9.21e-13,psoriasis; injection of interferon gamma,psoriasis; none,
BST2,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',3.100,1.70e-11,psoriasis; injection of interferon gamma,psoriasis; none,GO:0009615
CTSS,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',3.100,1.71e-12,psoriasis; injection of interferon gamma,psoriasis; none,
HERC5,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',3.100,1.06e-09,psoriasis; injection of interferon gamma,psoriasis; none,GO:0009615
PSMB9,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',3.100,2.54e-12,psoriasis; injection of interferon gamma,psoriasis; none,
SAMHD1,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',3.100,4.91e-12,psoriasis; injection of interferon gamma,psoriasis; none,GO:0009615
ADAMDEC1,E-GEOD-30999,'lesional' vs 'non-lesional',3.100,5.71e-42,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
ADGRF1,E-GEOD-41745,'lesional' vs 'non-lesional',3.100,1.03e-10,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
AKR1B10,E-GEOD-41745,'lesional' vs 'non-lesional',3.100,1.13e-18,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
C10orf99,E-GEOD-30999,'lesional' vs 'non-lesional',3.100,1.63e-40,lesional,non-lesional,
FOXE1,E-GEOD-30999,'lesional' vs 'non-lesional',3.100,0.00e+00,lesional,non-lesional,
HYAL4,E-GEOD-30999,'lesional' vs 'non-lesional',3.100,0.00e+00,lesional,non-lesional,
REN,E-GEOD-30999,'lesional' vs 'non-lesional',3.100,9.80e-45,lesional,non-lesional,
RHCG,E-GEOD-41745,'lesional' vs 'non-lesional',3.100,5.42e-12,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
SLC6A14,E-GEOD-41745,'lesional' vs 'non-lesional',3.100,0.00e+00,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
CTA-384D8.35,E-GEOD-53552,'lesional' vs 'non-lesional' in 'none' at '0 day',3.100,1.21e-14,0 day; lesional; none,0 day; non-lesional; none,
KLHDC7B-DT,E-GEOD-53552,'lesional' vs 'non-lesional' in 'none' at '0 day',3.100,1.21e-14,0 day; lesional; none,0 day; non-lesional; none,
U62317.1,E-GEOD-53552,'lesional' vs 'non-lesional' in 'none' at '0 day',3.100,1.21e-14,0 day; lesional; none,0 day; non-lesional; none,
U62317.2,E-GEOD-53552,'lesional' vs 'non-lesional' in 'none' at '0 day',3.100,1.21e-14,0 day; lesional; none,0 day; non-lesional; none,
ADGRF1,E-GEOD-41662,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.100,7.73e-20,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
CHRNA9,E-GEOD-34248,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.100,8.45e-08,lesional,non-lesional,
CTA-384D8.35,E-GEOD-41662,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.100,4.30e-14,lesional,non-lesional,
FOXE1,E-GEOD-50790,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.100,1.78e-03,lesional,non-lesional,
HYAL4,E-GEOD-34248,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.100,2.85e-06,lesional,non-lesional,
KLHDC7B-DT,E-GEOD-41662,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.100,4.30e-14,lesional,non-lesional,
KRT16,E-GEOD-50790,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.100,4.70e-04,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
LINC01215,E-GEOD-50790,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.100,1.48e-03,lesional,non-lesional,
U62317.1,E-GEOD-41662,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.100,4.30e-14,lesional,non-lesional,
U62317.2,E-GEOD-41662,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.100,4.30e-14,lesional,non-lesional,
ACP3,E-GEOD-52471,'psoriasis' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.100,2.58e-05,Ovation RNA Amplification V2 kit; psoriasis,Ovation RNA Amplification V2 kit; normal,
ACPP,E-GEOD-52471,'psoriasis' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.100,2.58e-05,Ovation RNA Amplification V2 kit; psoriasis,Ovation RNA Amplification V2 kit; normal,
LONP1,E-GEOD-52471,'psoriasis' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.100,8.44e-06,Ovation RNA Amplification V2 kit; psoriasis,Ovation RNA Amplification V2 kit; normal,
LTBP3,E-GEOD-52471,'psoriasis' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.100,1.13e-05,Ovation RNA Amplification V2 kit; psoriasis,Ovation RNA Amplification V2 kit; normal,
SNRPB,E-GEOD-52471,'psoriasis' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.100,1.03e-05,Ovation RNA Amplification V2 kit; psoriasis,Ovation RNA Amplification V2 kit; normal,
SERPINB13,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',3.100,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
CTA-384D8.35,E-GEOD-41663,'skin lesion' vs 'normal skin' in 'none' at '0 weeks',3.100,9.64e-09,none; skin lesion; 0 week,none; normal; 0 week,
GZMB,E-GEOD-41663,'skin lesion' vs 'normal skin' in 'none' at '0 weeks',3.100,9.98e-09,none; skin lesion; 0 week,none; normal; 0 week,GO:0009615
KLHDC7B-DT,E-GEOD-41663,'skin lesion' vs 'normal skin' in 'none' at '0 weeks',3.100,9.64e-09,none; skin lesion; 0 week,none; normal; 0 week,
U62317.1,E-GEOD-41663,'skin lesion' vs 'normal skin' in 'none' at '0 weeks',3.100,9.64e-09,none; skin lesion; 0 week,none; normal; 0 week,
U62317.2,E-GEOD-41663,'skin lesion' vs 'normal skin' in 'none' at '0 weeks',3.100,9.64e-09,none; skin lesion; 0 week,none; normal; 0 week,
CD2,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.000,2.25e-04,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
IFIH1,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.000,4.56e-06,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
IL7R,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.000,2.86e-04,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0070268; GO:0031424; GO:0009615
IRF7,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.000,2.70e-04,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
ITGAL,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.000,8.28e-05,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
MS4A4A,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.000,5.06e-04,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
NKG7,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.000,7.32e-05,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
SAMSN1,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.000,5.91e-04,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
CSAG3,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',3.000,3.37e-10,normal; injection of interferon gamma,normal; none,
GBP2,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',3.000,3.26e-10,normal; injection of interferon gamma,normal; none,
GCH1,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',3.000,1.18e-09,normal; injection of interferon gamma,normal; none,
VAMP5,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',3.000,5.14e-09,normal; injection of interferon gamma,normal; none,
APOBEC3G,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',3.000,8.77e-12,psoriasis; injection of interferon gamma,psoriasis; none,GO:0009615
GBP2,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',3.000,4.78e-12,psoriasis; injection of interferon gamma,psoriasis; none,
IFI27,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',3.000,1.12e-11,psoriasis; injection of interferon gamma,psoriasis; none,GO:0009615
VAMP5,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',3.000,4.25e-12,psoriasis; injection of interferon gamma,psoriasis; none,
CHRNA9,E-GEOD-30999,'lesional' vs 'non-lesional',3.000,2.52e-42,lesional,non-lesional,
IL19,E-GEOD-30999,'lesional' vs 'non-lesional',3.000,8.53e-43,lesional,non-lesional,
TYMP,E-GEOD-41745,'lesional' vs 'non-lesional',3.000,3.73e-15,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
ADAMDEC1,E-GEOD-53552,'lesional' vs 'non-lesional' in 'none' at '0 day',3.000,5.63e-13,0 day; lesional; none,0 day; non-lesional; none,GO:0070268; GO:0031424; GO:0009615
CCNB1,E-GEOD-26866,'lesional' vs 'non-lesional' in 'one-cycle cDNA synthesis from bulk tissue',3.000,6.20e-03,lesional; one-cycle cDNA synthesis from bulk tissue,non-lesional; one-cycle cDNA synthesis from bulk tissue,
ADAMDEC1,E-GEOD-41662,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.000,5.18e-13,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
CXCL17,E-GEOD-50790,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.000,1.31e-03,lesional,non-lesional,
HPSE,E-GEOD-34248,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.000,5.80e-07,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
KRT16,E-GEOD-34248,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',3.000,5.60e-08,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
CCL20,E-GEOD-52471,'psoriasis' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.000,1.95e-05,Ovation RNA Amplification V2 kit; psoriasis,Ovation RNA Amplification V2 kit; normal,
GNB2,E-GEOD-52471,'psoriasis' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.000,1.07e-05,Ovation RNA Amplification V2 kit; psoriasis,Ovation RNA Amplification V2 kit; normal,
UQCRC1,E-GEOD-52471,'psoriasis' vs 'normal' in 'Ovation RNA Amplification V2 kit',3.000,1.08e-05,Ovation RNA Amplification V2 kit; psoriasis,Ovation RNA Amplification V2 kit; normal,
CTLA4,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',3.000,0.00e+00,lesional skin; psoriasis,normal; normal,
FOXE1,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',3.000,0.00e+00,lesional skin; psoriasis,normal; normal,
FUT3,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',3.000,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
GBP6,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',3.000,0.00e+00,lesional skin; psoriasis,normal; normal,
GJB6,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',3.000,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
INA,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',3.000,0.00e+00,lesional skin; psoriasis,normal; normal,
SLC26A9,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',3.000,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
UPP1,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',3.000,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
ADGRF1,E-GEOD-41663,'skin lesion' vs 'normal skin' in 'none' at '0 weeks',3.000,1.46e-08,none; skin lesion; 0 week,none; normal; 0 week,GO:0070268; GO:0031424; GO:0009615
CHRNA9,E-GEOD-41663,'skin lesion' vs 'normal skin' in 'none' at '0 weeks',3.000,4.25e-08,none; skin lesion; 0 week,none; normal; 0 week,
CD53,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',2.900,2.62e-05,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
GBP1,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',2.900,3.02e-04,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0070268; GO:0031424; GO:0002376; GO:0009615
GPR65,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',2.900,9.66e-05,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
IL24,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',2.900,2.70e-04,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
LILRA4,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',2.900,5.04e-04,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
MICB,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',2.900,1.06e-04,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
PRF1,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',2.900,5.72e-05,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
PRKCQ,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',2.900,3.26e-04,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
SPRR1A,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',2.900,7.21e-05,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0070268; GO:0031424; GO:0009615
APOBEC3G,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',2.900,1.14e-11,normal; injection of interferon gamma,normal; none,GO:0009615
IL15,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',2.900,3.41e-11,normal; injection of interferon gamma,normal; none,
IL32,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',2.900,2.78e-08,normal; injection of interferon gamma,normal; none,
NMI,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',2.900,2.41e-10,normal; injection of interferon gamma,normal; none,GO:0009615
CSAG3,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',2.900,7.18e-11,psoriasis; injection of interferon gamma,psoriasis; none,
GCH1,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',2.900,6.04e-11,psoriasis; injection of interferon gamma,psoriasis; none,
IL32,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',2.900,1.72e-13,psoriasis; injection of interferon gamma,psoriasis; none,
STAT1,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',2.900,7.88e-13,psoriasis; injection of interferon gamma,psoriasis; none,GO:0070268; GO:0031424; GO:0002376; GO:0009615
TRIM22,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',2.900,1.84e-12,psoriasis; injection of interferon gamma,psoriasis; none,GO:0009615
ADAMDEC1,E-GEOD-41745,'lesional' vs 'non-lesional',2.900,4.01e-14,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
LINC01215,E-GEOD-30999,'lesional' vs 'non-lesional',2.900,8.38e-43,lesional,non-lesional,
VNN1,E-GEOD-30999,'lesional' vs 'non-lesional',2.900,0.00e+00,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
ARSF,E-GEOD-53552,'lesional' vs 'non-lesional' in 'none' at '0 day',2.900,6.25e-21,0 day; lesional; none,0 day; non-lesional; none,GO:0070268; GO:0031424; GO:0009615
CNFN,E-GEOD-53552,'lesional' vs 'non-lesional' in 'none' at '0 day',2.900,7.26e-13,0 day; lesional; none,0 day; non-lesional; none,GO:0070268; GO:0031424; GO:0009615
PRSS27,E-GEOD-53552,'lesional' vs 'non-lesional' in 'none' at '0 day',2.900,1.67e-17,0 day; lesional; none,0 day; non-lesional; none,
VNN1,E-GEOD-53552,'lesional' vs 'non-lesional' in 'none' at '0 day',2.900,5.31e-13,0 day; lesional; none,0 day; non-lesional; none,GO:0070268; GO:0031424; GO:0009615
KYNU,E-GEOD-26866,'lesional' vs 'non-lesional' in 'two-cycle cDNA synthesis from sliced tissue section',2.900,2.43e-03,lesional; two-cycle cDNA synthesis from sliced tissue section,non-lesional; two-cycle cDNA synthesis from sliced tissue section,GO:0070268; GO:0031424; GO:0009615
ARSF,E-GEOD-41662,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',2.900,1.91e-20,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
CNFN,E-GEOD-41662,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',2.900,1.20e-12,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
CTA-384D8.35,E-GEOD-34248,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',2.900,4.17e-06,lesional,non-lesional,
IL36A,E-GEOD-34248,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',2.900,9.36e-06,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
IL36RN,E-GEOD-41662,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',2.900,2.20e-12,lesional,non-lesional,
KLHDC7B-DT,E-GEOD-34248,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',2.900,4.17e-06,lesional,non-lesional,
LINC01215,E-GEOD-41662,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',2.900,5.21e-15,lesional,non-lesional,
U62317.1,E-GEOD-34248,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',2.900,4.17e-06,lesional,non-lesional,
U62317.2,E-GEOD-34248,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',2.900,4.17e-06,lesional,non-lesional,
VNN1,E-GEOD-41662,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',2.900,1.48e-12,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
IL36RN,E-GEOD-52471,'psoriasis' vs 'normal' in 'Affy RNA amplification kit',2.900,1.76e-11,Affy RNA amplification kit; psoriasis,Affy RNA amplification kit; normal,
SERPINB13,E-GEOD-52471,'psoriasis' vs 'normal' in 'Affy RNA amplification kit',2.900,1.22e-10,Affy RNA amplification kit; psoriasis,Affy RNA amplification kit; normal,GO:0070268; GO:0031424; GO:0009615
TMPRSS11D,E-GEOD-52471,'psoriasis' vs 'normal' in 'Affy RNA amplification kit',2.900,7.50e-10,Affy RNA amplification kit; psoriasis,Affy RNA amplification kit; normal,GO:0070268; GO:0031424; GO:0009615
MAP3K6,E-GEOD-52471,'psoriasis' vs 'normal' in 'Ovation RNA Amplification V2 kit',2.900,2.68e-05,Ovation RNA Amplification V2 kit; psoriasis,Ovation RNA Amplification V2 kit; normal,
RPL35P8,E-GEOD-52471,'psoriasis' vs 'normal' in 'Ovation RNA Amplification V2 kit',2.900,2.68e-05,Ovation RNA Amplification V2 kit; psoriasis,Ovation RNA Amplification V2 kit; normal,
SLC38A10,E-GEOD-52471,'psoriasis' vs 'normal' in 'Ovation RNA Amplification V2 kit',2.900,2.68e-05,Ovation RNA Amplification V2 kit; psoriasis,Ovation RNA Amplification V2 kit; normal,
DSC2,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',2.900,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
HAS3,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',2.900,0.00e+00,lesional skin; psoriasis,normal; normal,
HPSE,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',2.900,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
IL36RN,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',2.900,0.00e+00,lesional skin; psoriasis,normal; normal,
LINC01605,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',2.900,0.00e+00,lesional skin; psoriasis,normal; normal,
SLC7A11,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',2.900,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
TMC5,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',2.900,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
KLK13,E-GEOD-41663,'skin lesion' vs 'normal skin' in 'none' at '0 weeks',2.900,3.34e-08,none; skin lesion; 0 week,none; normal; 0 week,GO:0070268; GO:0031424; GO:0009615
CD3G,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',2.800,2.51e-04,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
